품목명,평균가격,최고가격,최저가격,등급,일자
사과 조나골드_15,12750.0,17300.0,8200.0,하,200410
사과 홍로_15,12500.0,15111.111111111111,9888.888888888889,하,200410
사과 홍로_5,9000.0,10000.0,8000.0,하,200410
사과 홍옥_15,12576.923076923076,17461.53846153846,7692.307692307692,하,200410
사과 홍월_15,13050.0,16400.0,9700.0,하,200410
사과 홍월_5,8000.0,10000.0,6000.0,하,200410
사과 후지_10,10438.2,12800.0,7600.0,하,200410
사과 후지_15,13173.62962962963,20037.037037037036,6296.2962962962965,하,200410
사과 후지_5,8535.714285714286,10285.714285714286,6785.714285714285,하,200410
사과 후지_10,55000.0,55000.0,55000.0,특,200411
사과 후지_15,65653.84615384616,81384.61538461539,49923.07692307692,특,200411
사과 후지_5,18726.0,20000.0,17000.0,특,200411
사과 후지_10,48853.0,55000.0,22000.0,상,200411
사과 후지_15,39945.5,49846.153846153844,29961.53846153846,상,200411
사과 후지_5,17000.0,17000.0,17000.0,상,200411
사과 후지_10,17487.0,22000.0,15000.0,중,200411
사과 후지_15,23283.115384615383,29923.076923076922,16692.30769230769,중,200411
사과 후지_5,16048.0,17000.0,15000.0,중,200411
사과 후지_10,13338.0,15000.0,9000.0,하,200411
사과 후지_15,10372.615384615385,16653.846153846152,4076.923076923077,하,200411
사과 후지_5,15000.0,15000.0,15000.0,하,200411
사과 후지_15,82462.96296296296,105962.96296296296,58962.96296296296,특,200412
사과 후지_15,46166.666666666664,58222.22222222222,34111.11111111111,상,200412
사과 후지_15,27259.25925925926,34074.07407407407,20444.444444444445,중,200412
사과 후지_15,13259.25925925926,20444.444444444445,6074.074074074074,하,200412
사과 후지_10,40907.0,43000.0,37000.0,특,200501
사과 후지_15,79818.18181818182,99727.27272727272,59909.09090909091,특,200501
사과 후지_5,31445.2,33000.0,29800.0,특,200501
사과 후지_10,30688.0,37000.0,27000.0,상,200501
사과 후지_15,47780.27272727273,59272.72727272727,36090.90909090909,상,200501
사과 후지_5,26200.0,29800.0,22600.0,상,200501
사과 후지_10,22568.0,26000.0,19000.0,중,200501
사과 후지_15,29169.18181818182,36090.90909090909,22363.636363636364,중,200501
사과 후지_5,19109.6,22600.0,15600.0,중,200501
사과 후지_10,16347.0,19000.0,10000.0,하,200501
사과 후지_15,14426.181818181818,22363.636363636364,6454.545454545455,하,200501
사과 후지_5,13562.5,16250.0,10875.0,하,200501
사과 후지_10,29667.0,34000.0,21000.0,특,200502
사과 후지_15,71416.66666666667,81833.33333333333,61000.0,특,200502
사과 후지_5,22306.5,24500.0,20000.0,특,200502
사과 후지_10,19034.0,21000.0,17500.0,상,200502
사과 후지_15,48680.5,60000.0,37000.0,상,200502
사과 후지_5,18500.0,20000.0,17000.0,상,200502
사과 후지_10,17370.0,17500.0,15000.0,중,200502
사과 후지_15,31060.166666666668,37000.0,25333.333333333332,중,200502
사과 후지_5,16012.0,17000.0,15000.0,중,200502
사과 후지_10,11561.0,15000.0,6000.0,하,200502
사과 후지_15,18614.666666666668,25333.333333333332,11833.333333333334,하,200502
사과 후지_5,12187.5,14250.0,10125.0,하,200502
사과 후지_15,84018.51851851853,98703.70370370371,69333.33333333333,특,200503
